Code,Type,Resource,Unit,Base rate GBP,Factor,Rate EUR,Scope,Used on,Source group
L001,Labour,banksman (skill rate 4),hr,29.49,1.3415,46.2624,Shared,193,
L002,Labour,bricklayers (craftsman),hr,29.495,1.3415,46.2703,Shared,167,
L003,Labour,carpenter/joiner (craftsman),hr,29.49,1.3415,46.2624,Shared,240,
L004,Labour,chargehand pipelayer (skill rate 4),hr,31.38,1.3415,49.2274,Shared,849,
L005,Labour,foreman bricklayer (craftsman),hr,34.79,1.3415,54.5768,Shared,167,
L006,Labour,foreman carpenter/joiner (craftsman),hr,33.9,1.3415,53.1806,Shared,240,
L007,Labour,foreman joiner (craftsman),hr,33.9,1.3415,53.1806,Shared,9,
L008,Labour,foreman steel fixer (craftsman),hr,33.9,1.3415,53.1806,Shared,80,
L009,Labour,ganger (skill rate 3),hr,31.39,1.3415,49.2431,Shared,96,
L010,Labour,ganger/chargehand (skill rate 3),hr,31.385,1.3415,49.2352,Shared,95,
L011,Labour,ganger/chargehand (skill rate 4),hr,31.39,1.3415,49.2431,Shared,716,
L012,Labour,joiner (craftsman),hr,31.6975,1.3415,49.7255,Shared,149,
L013,Labour,painters (skill rate 3),hr,29.4933,1.3415,46.2676,Shared,96,
L014,Labour,plant operator (skill rate 1),hr,53.0303,1.3415,83.1913,Shared,167,
L015,Labour,plant operator (skill rate 2),hr,44.9,1.3415,70.4369,Shared,584,
L016,Labour,plant operator (skill rate 3),hr,38.96,1.3415,61.1185,Shared,1788,
L017,Labour,plant operator (skill rate 4),hr,31.74,1.3415,49.7921,Shared,76,
L018,Labour,skilled operative (skill rate 3),hr,29.4925,1.3415,46.2664,Shared,95,
L019,Labour,skilled operative (skill rate 4),hr,29.49,1.3415,46.2624,Shared,1550,
L020,Labour,steel fixer (craftsman),hr,29.49,1.3415,46.2624,Shared,20,
L021,Labour,steel fixers (craftsman),hr,29.495,1.3415,46.2703,Shared,80,
L022,Labour,unskilled labour (general),hr,24.68,1.3415,38.7168,Shared,4,
L023,Labour,unskilled operative (general),hr,24.6783,1.3415,38.7141,Shared,2581,
P001,Plant,0.4 m3 hydraulic backacter,hr,77.52,1.0,90.6519,Shared,53,
P002,Plant,0.4 m3 hydraulic excavator,hr,77.52,1.0,90.6519,Shared,316,
P003,Plant,0.40 m3 hydraulic backacter,hr,77.52,1.0,90.6519,Shared,107,
P004,Plant,0.80 m3 tractor loader,hr,78.34,1.0,91.6108,Shared,84,
P005,Plant,1.0 m3 hydraulic backacter,hr,117.01,1.0,136.8315,Shared,29,
P006,Plant,1.00 m3 concrete skip,hr,5.2,1.0,6.0809,Shared,136,
P007,Plant,1.5 kva diesel generator,hr,5.76,1.0,6.7357,Shared,96,
P008,Plant,1.5 m3 tractor loader,hr,132.28,1.0,154.6882,Shared,107,
