Item ref,Class,Section,Sub-heading,Item,Item unit,Line,Type,Code,Resource,Qty,Qty unit,Rate EUR,Line cost EUR,Crew / spread
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,1,Labour,L011,ganger/chargehand (skill rate 4),0.217833,hr,49.2431,10.73,Labour Gang Build-up Rate; Trial hole gang
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,2,Labour,L019,skilled operative (skill rate 4),0.217833,hr,46.2624,10.08,Labour Gang Build-up Rate; Trial hole gang
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,3,Labour,L023,unskilled operative (general),0.435667,hr,38.7141,16.87,Labour Gang Build-up Rate; Trial hole gang
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,4,Labour,L016,plant operator (skill rate 3),0.217833,hr,61.1185,13.31,Labour Gang Build-up Rate; Trial hole gang
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,5,Plant,P045,8 tonne wheeled backacter,0.655185,hr,84.6646,55.47,Plant Resources Build-up Rate; Trial holes
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,6,Plant,P028,3 tonne dumper,0.655185,hr,24.6393,16.14,Plant Resources Build-up Rate; Trial holes
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,7,Plant,P031,"3.7 m3/min compressor, 2 tool",0.655185,hr,24.8147,16.26,Plant Resources Build-up Rate; Trial holes
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,8,Plant,P021,2.4 m3/min road breakers,1.31037,hr,9.706,12.72,Plant Resources Build-up Rate; Trial holes
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,9,Plant,P067,extra 50 ft / 15 m hose,0.655185,hr,0.6198,0.41,Plant Resources Build-up Rate; Trial holes
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,10,Plant,P079,plate compactors; vibrating compaction; plate 180 kg/ 600 mm,0.655185,hr,5.7534,3.77,Plant Resources Build-up Rate; Trial holes
