Item ref,Class,Section,Sub-heading,Item,Unit,Labour EUR,Plant EUR,Material EUR,Sub-contract EUR,TOTAL COST EUR,WBS lines,Book-derived EUR,Variance EUR
124,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,50.99,104.77,0,0,155.76,10,155.75,0.01
125,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,99.83,134.19,0,0,234.02,10,234.02,0.0
126,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,112.59,163.86,0,0,276.45,10,276.43,0.02
128,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,59.49,112.75,0,0,172.24,10,172.23,0.01
129,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,108.33,160.9,0,0,269.23,10,269.25,-0.02
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,123.2,192.61,0,0,315.81,10,315.82,-0.01
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,50.99,106.87,0,0,157.86,10,157.86,0.0
134,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",1.0-2.0 m deep,m,112.59,149.52,0,0,262.11,10,262.11,0.0
135,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",2.0-3.0 m deep,m,125.33,158.21,0,0,283.54,10,283.54,0.0
136,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",3.0-5.0 m deep,m,138.08,210.12,0,0,348.2,10,348.2,0.0
138,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,626.67,719.78,0,0,1346.45,10,1346.45,0.0
139,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,m,775.36,1108.93,0,0,1884.29,10,1884.31,-0.02
140,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",2.0-3.0 m deep,m,839.09,1153.13,0,0,1992.22,10,1992.22,0.0
141,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",3.0-5.0 m deep,m,955.93,1233.83,0,0,2189.76,10,2189.77,-0.01
143,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,Sundries in trial holes,Removal of obstructions from trial holes irrespective of depth,hr,212.42,433.34,0,0,645.76,10,645.77,-0.01
144,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,Sundries in trial holes,Pumping; maximum depth 4.0 m minimum 750 litres per hour,hr,4.99,44.47,0,0,49.46,10,49.46,0.0
148,CLASS B: GROUND INVESTIGATION,02 LIGHT CABLE PERCUSSION BOREHOLES,General,Establishment of standard plant and equipment and removal on completion,item,0,0,0,22069.58,22069.58,1,22069.58,0.0
149,CLASS B: GROUND INVESTIGATION,02 LIGHT CABLE PERCUSSION BOREHOLES,General,Number; 150 mm nominal dia. at base,nr,0,0,0,115.09,115.09,1,115.09,0.0
151,CLASS B: GROUND INVESTIGATION,02 LIGHT CABLE PERCUSSION BOREHOLES,Depth; 150 mm nominal dia. of base,in holes of maximum depth not exceeding 5 m,m,0,0,0,46.03,46.03,1,46.03,0.0
152,CLASS B: GROUND INVESTIGATION,02 LIGHT CABLE PERCUSSION BOREHOLES,Depth; 150 mm nominal dia. of base,in holes of maximum depth 5-10 m,m,0,0,0,46.03,46.03,1,46.03,0.0
153,CLASS B: GROUND INVESTIGATION,02 LIGHT CABLE PERCUSSION BOREHOLES,Depth; 150 mm nominal dia. of base,in holes of maximum depth 10-20 m,m,0,0,0,57.54,57.54,1,57.54,0.0
154,CLASS B: GROUND INVESTIGATION,02 LIGHT CABLE PERCUSSION BOREHOLES,Depth; 150 mm nominal dia. of base,in holes of maximum depth 20-30 m,m,0,0,0,73.63,73.63,1,73.63,0.0
155,CLASS B: GROUND INVESTIGATION,02 LIGHT CABLE PERCUSSION BOREHOLES,Depth; 150 mm nominal dia. of base,Depth backfilled; imported pulverised fuel ash,m,0,0,0,11.91,11.91,1,11.91,0.0
156,CLASS B: GROUND INVESTIGATION,02 LIGHT CABLE PERCUSSION BOREHOLES,Depth; 150 mm nominal dia. of base,Depth backfilled; imported gravel,m,0,0,0,16.67,16.67,1,16.67,0.0
