Ref,Page,Class,Section,Sub-heading,Item,Unit,Gang hrs,Labour £,Plant £,Material £,Sub-contract £,UK COST £,Labour €,Plant €,Material €,Sub-contract €,IRISH COST €,Derivation basis,Confidence,Published rate £ (superseded),Variance £,Flag,Derivation note
124,IMG_0066,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,0.24,32.5,89.59,0,0.0,122.09,50.98,104.77,0.0,0.0,155.75,Stated build-up,High,122.09,0.0,,Labour + plant + material as published; reconciles to the published rate.
125,IMG_0066,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,0.47,63.64,114.75,0,0.0,178.39,99.83,134.19,0.0,0.0,234.02,Stated build-up,High,178.4,-0.01,,Labour + plant + material as published; reconciles to the published rate.
126,IMG_0066,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,0.53,71.77,140.11,0,0.0,211.88,112.58,163.84,0.0,0.0,276.42,Stated build-up,High,211.88,0.0,,Labour + plant + material as published; reconciles to the published rate.
128,IMG_0066,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,nr,0.28,37.92,96.41,0,0.0,134.33,59.48,112.74,0.0,0.0,172.22,Stated build-up,High,134.33,0.0,,Labour + plant + material as published; reconciles to the published rate.
129,IMG_0066,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",1.0-2.0 m deep,nr,0.51,69.06,137.6,0,0.0,206.66,108.33,160.91,0.0,0.0,269.24,Stated build-up,High,206.66,0.0,,Labour + plant + material as published; reconciles to the published rate.
130,IMG_0066,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,0.58,78.54,164.71,0,0.0,243.25,123.2,192.61,0.0,0.0,315.81,Stated build-up,High,243.25,0.0,,Labour + plant + material as published; reconciles to the published rate.
132,IMG_0066,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,0.24,32.5,91.39,0,0.0,123.89,50.98,106.87,0.0,0.0,157.85,Stated build-up,High,123.89,0.0,,Labour + plant + material as published; reconciles to the published rate.
134,IMG_0067,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",1.0-2.0 m deep,m,0.53,71.77,127.86,0,0.0,199.63,112.58,149.52,0.0,0.0,262.1,Stated build-up,High,199.63,0.0,,Labour + plant + material as published; reconciles to the published rate.
135,IMG_0067,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",2.0-3.0 m deep,m,0.59,79.89,135.29,0,0.0,215.18,125.32,158.21,0.0,0.0,283.53,Stated build-up,High,215.18,0.0,,Labour + plant + material as published; reconciles to the published rate.
136,IMG_0067,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling (continued)",3.0-5.0 m deep,m,0.65,88.02,179.68,0,0.0,267.7,138.07,210.12,0.0,0.0,348.19,Stated build-up,High,267.7,0.0,,Labour + plant + material as published; reconciles to the published rate.
